word,occurrence,day
which,0.0024305603723041,1042.0
their,0.0016645437199622,278.0
would,0.0014178042369894,1046.0
other,0.0013338636467233,249.0
about,0.001053331636358,728.0
there,0.0010201328946277,535.0
these,0.0009439452691003,1519.0
could,0.000813898287015,224.0
first,0.0007260849990416,56.0
under,0.0006914596998831,1673.0
where,0.0005988668883219,1077.0
after,0.0005950968305114,1374.0
those,0.0005867902899626,227.0
years,0.0005703521595569,
being,0.0005071258853422,340.0
shall,0.0004885253004613,286.0
three,0.000424302710453,1204.0
state,0.0004193688358645,2056.0
right,0.0003811305575072,2026.0
order,0.0003703840600792,1621.0
found,0.000367696727626,285.0
water,0.0003609871328808,1651.0
while,0.0003412718698382,1191.0
world,0.00032828798634,132.0
given,0.0003256359416991,605.0
might,0.0003220393863739,686.0
still,0.0003193967195693,702.0
small,0.0003132728044874,1749.0
place,0.0003061436198186,744.0
power,0.0003001108730677,416.0
large,0.0002989350369898,1048.0
point,0.0002967597689712,214.0
level,0.0002915868870331,1011.0
study,0.000288727072766,577.0
think,0.0002886098818271,1833.0
since,0.0002778865437721,901.0
group,0.0002774764804053,144.0
value,0.0002647630189312,1422.0
using,0.0002600179030559,180.0
never,0.0002568690985208,1354.0
great,0.0002544925612164,136.0
often,0.0002541407058015,897.0
means,0.0002496102525037,
women,0.0002461245917947,1932.0
again,0.0002439171663718,1505.0
every,0.0002424928132677,1002.0
above,0.0002410466049332,1877.0
local,0.0002409394166897,1101.0
until,0.0002335104261874,986.0
going,0.0002331612282432,2255.0
among,0.0002288377852528,1043.0
human,0.0002262265636818,595.0
total,0.0002240526094101,573.0
least,0.0002228560327785,1285.0
later,0.0002143456909107,873.0
taken,0.0002123707509599,1756.0
court,0.0002112215707893,1840.0
early,0.0002109502509119,1599.0
model,0.000205572919076,12.0
known,0.0002038097492186,2178.0
major,0.0002037339250091,20.0
terms,0.0002036724428762,
shown,0.0001898698968579,318.0
field,0.0001898425453691,391.0
times,0.0001829134632134,
light,0.0001799371020752,226.0
along,0.0001789049452054,1261.0
basis,0.0001781095976184,1660.0
whole,0.0001769239048007,1567.0
words,0.0001734528411179,
child,0.0001733487061574,989.0
range,0.0001602814315992,810.0
class,0.0001598747150273,465.0
house,0.0001596408784098,723.0
money,0.0001595185659243,345.0
short,0.0001557247055461,1233.0
issue,0.0001546514044457,1431.0
costs,0.0001542032200086,
sense,0.0001520004105987,1741.0
young,0.000151638490206,1138.0
clear,0.0001499884334043,1363.0
lower,0.0001481044701358,1127.0
needs,0.0001479756142362,
death,0.0001465991490113,21.0
party,0.0001463873477769,1116.0
force,0.0001428070497058,1619.0
trade,0.0001418881039717,1102.0
cases,0.0001411414441915,
paper,0.0001401521693333,35.0
whose,0.0001384442925336,2236.0
third,0.000138226954441,1070.0
price,0.0001375764567637,629.0
white,0.0001374355674488,1999.0
space,0.0001374197429686,1231.0
cause,0.0001369951406377,1288.0
below,0.0001356115438102,1414.0
thing,0.000133487026178,2127.0
began,0.0001329048810293,1747.0
close,0.0001303426572121,2080.0
rates,0.0001295802641107,
night,0.0001294332237739,402.0
woman,0.0001275743184669,2181.0
quite,0.000126414191036,1335.0
black,0.000125841240515,300.0
hours,0.0001240111753577,
shows,0.0001229290543415,
seems,0.0001200898099341,
table,0.0001194152914104,1559.0
final,0.0001155247092538,618.0
today,0.0001151219723396,268.0
forms,0.0001144620237755,
makes,0.0001142724591773,
heart,0.0001140106494131,656.0
types,0.0001136901875725,
rules,0.0001129786742967,
basic,0.0001127168505627,100.0
doing,0.0001107298409624,793.0
blood,0.0001105603737232,1631.0
hands,0.0001072826822201,
legal,0.0001061148919689,1744.0
parts,0.0001058564404956,
staff,0.0001051861277665,34.0
plant,0.0001051859213475,313.0
lines,0.0001043782838678,
funds,0.0001029525900958,
front,0.0001021864041103,79.0
story,0.0001013023016275,325.0
prior,0.0001006052034063,1894.0
works,0.0001003229145135,
leave,9.871766029391438e-05,491.0
stage,9.82419794308953e-05,755.0
added,9.769780896861518e-05,
heard,9.754018014064058e-05,1843.0
units,9.632807814341504e-05,
share,9.453205551835708e-05,1004.0
alone,9.382605538121424e-05,112.0
title,9.299557947088032e-05,838.0
phase,9.275952950702048e-05,357.0
voice,9.18138582346728e-05,397.0
claim,9.0863999503199e-05,554.0
scale,9.07639681827277e-05,1692.0
equal,9.071983949979768e-05,503.0
books,8.947255302324756e-05,
bring,8.860245885443874e-05,164.0
month,8.828727099171375e-05,265.0
board,8.824088843539357e-05,1922.0
noted,8.793275206699036e-05,
trial,8.666328569233883e-05,1436.0
allow,8.620703410997522e-05,276.0
start,8.551543694920838e-05,84.0
asked,8.487282350240723e-05,
labor,8.46522775827907e-05,94.0
occur,8.460179997200612e-05,2112.0
apply,8.434277042397298e-05,1193.0
sound,8.412053401116282e-05,863.0
image,8.219018061936367e-05,2150.0
goods,8.105658198473976e-05,
plans,8.068509851000272e-05,
stock,8.019724271434824e-05,1330.0
cross,7.955207285704092e-05,1032.0
offer,7.923829281935468e-05,1147.0
sales,7.878428543335758e-05,
moved,7.824181848263834e-05,
music,7.80320401827339e-05,2194.0
comes,7.72721333487425e-05,
takes,7.666485238587484e-05,
event,7.62960864813067e-05,902.0
gives,7.594037073431537e-05,
built,7.560648082289844e-05,673.0
fully,7.461393237463198e-05,2104.0
tried,7.378195434284862e-05,1784.0
cover,7.360607167356648e-05,891.0
focus,7.214009583549341e-05,269.0
serve,7.115213884389959e-05,9.0
weeks,7.00289785163477e-05,
items,7.002344435022678e-05,
ideas,6.996952899498865e-05,
lives,6.968318266444839e-05,
tests,6.869983386422973e-05,
ratio,6.817844878241886e-05,1834.0
wrote,6.72906891850289e-05,159.0
floor,6.69797229784308e-05,505.0
miles,6.628222516155802e-05,
fixed,6.625836474995595e-05,
seven,6.589672135305591e-05,1148.0
truth,6.578313768841326e-05,2154.0
sites,6.528500431159045e-05,
write,6.486230246082414e-05,693.0
stand,6.395868069375866e-05,57.0
media,6.373149168211966e-05,1360.0
based,6.371739219300019e-05,
speed,6.369872833602131e-05,1380.0
index,6.323116293060593e-05,748.0
eight,6.312852121482138e-05,899.0
heavy,6.309284384769853e-05,1538.0
trust,6.27576267288532e-05,2028.0
upper,6.265560245083179e-05,1438.0
civil,6.206527839822229e-05,888.0
error,6.203087425092235e-05,71.0
begin,6.175966977025383e-05,1648.0
ready,6.167645937239285e-05,1140.0
steps,6.126279084128327e-05,
earth,6.119797872088384e-05,984.0
learn,6.08951994945528e-05,1278.0
stood,6.079096565372311e-05,919.0
speak,6.071552124922164e-05,2239.0
daily,6.070532486774028e-05,1944.0
wrong,6.068369075364899e-05,1561.0
avoid,6.044205314537976e-05,1982.0
style,6.0348016704665495e-05,2140.0
carry,6.01261253177654e-05,518.0
urban,5.988685785268899e-05,1060.0
reach,5.973370076389984e-05,1377.0
limit,5.951089297013823e-05,1655.0
union,5.949594273261028e-05,2147.0
metal,5.910778447287157e-05,337.0
peace,5.898967414395884e-05,2299.0
filed,5.890648795684683e-05,
color,5.881463082914706e-05,1786.0
names,5.869263230124488e-05,
exist,5.867694235348608e-05,509.0
joint,5.830492758832407e-05,1535.0
north,5.787504334875848e-05,1878.0
spent,5.7526828604750336e-05,1550.0
round,5.728996395191644e-05,90.0
notes,5.716204577765893e-05,
doubt,5.6519822901464064e-05,473.0
facts,5.649635881127324e-05,
forth,5.647161757224239e-05,55.0
older,5.57246278913226e-05,1693.0
south,5.542598315514624e-05,1121.0
rural,5.540658235986485e-05,2313.0
glass,5.531430892006029e-05,342.0
layer,5.530418129637837e-05,843.0
waste,5.48211391287623e-05,445.0
press,5.4762825384386816e-05,2235.0
faith,5.426287090813276e-05,2291.0
lived,5.415956795332022e-05,
shape,5.40193742926931e-05,1213.0
aware,5.377617781050503e-05,1198.0
agent,5.3657259195460937e-05,1624.0
moral,5.346007317712065e-05,1757.0
trees,5.316494170983788e-05,
mouth,5.297224022797309e-05,2257.0
meant,5.296593953971751e-05,931.0
green,5.266318134090398e-05,1723.0
views,5.262430182483513e-05,
input,5.248739384114743e-05,375.0
check,5.230667258729227e-05,953.0
visit,5.2165611123200506e-05,688.0
areas,5.206503934053112e-05,
broad,5.118718072480988e-05,1709.0
yield,5.105908967379946e-05,338.0
brain,5.087731879029889e-05,821.0
entry,5.062637370429002e-05,1761.0
agree,5.061361734988168e-05,70.0
river,5.021655495511368e-05,854.0
goals,4.987030653865077e-05,
grant,4.960829584888415e-05,1923.0
judge,4.95985596353421e-05,2310.0
firms,4.945911558024818e-05,
piece,4.931045928969979e-05,2263.0
enter,4.906591791950632e-05,988.0
taxes,4.893336663371884e-05,
steel,4.886709761194652e-05,1092.0
solid,4.851250843785237e-05,880.0
named,4.841904461500235e-05,
worth,4.837340144149493e-05,1172.0
pages,4.827939344977494e-05,
depth,4.8133534073713234e-05,359.0
drive,4.808760466403328e-05,2191.0
cycle,4.780240582476836e-05,739.0
build,4.758249931910541e-05,1164.0
drawn,4.75160915084416e-05,1703.0
owner,4.715084884082899e-05,1375.0
break,4.588793221046217e-05,172.0
chief,4.582996058161371e-05,455.0
owned,4.552009362669196e-05,
crime,4.4969280279474335e-05,1900.0
brief,4.4901373257744126e-05,1353.0
happy,4.4851511484012006e-05,2205.0
bound,4.461358767002821e-05,1701.0
drugs,4.434457790921442e-05,
birth,4.433581161720213e-05,1779.0
adult,4.408951157529373e-05,2309.0
block,4.385559223010205e-05,930.0
noise,4.327960145019461e-05,1989.0
shift,4.319932166254148e-05,1200.0
kinds,4.317073799029458e-05,
motor,4.2529842685326005e-05,111.0
phone,4.252690874636755e-05,1839.0
scene,4.19571853853995e-05,2177.0
plane,4.178692623099778e-05,1058.0
users,4.176939193712314e-05,
tools,4.135558123380178e-05,
radio,4.126769286813214e-05,155.0
usual,4.111051683139522e-05,646.0
sleep,4.076270342920907e-05,636.0
sides,4.069559974595904e-05,
girls,4.058407906995854e-05,
rapid,4.0569197080913e-05,2188.0
leads,4.056792888150085e-05,
knows,4.051080300996546e-05,
fresh,3.992327037849464e-05,22.0
lands,3.976177304139128e-05,
novel,3.913973978342256e-05,1404.0
minor,3.90684468584368e-05,991.0
scope,3.900217630871339e-05,866.0
store,3.895665355230449e-05,162.0
loans,3.892488317433162e-05,
guide,3.891761429258622e-05,1670.0
walls,3.891260996169876e-05,
spoke,3.889055264153285e-05,920.0
looks,3.8778639645897786e-05,
prove,3.853754948067944e-05,163.0
mixed,3.803089231951162e-05,
signs,3.795600154262502e-05,
fight,3.786432858760236e-05,1908.0
fluid,3.754728011699626e-05,844.0
wants,3.7428502218972425e-05,
proof,3.737317827471997e-05,1842.0
chain,3.7333280270104295e-05,2113.0
refer,3.727430354047101e-05,1680.0
grade,3.718285675859079e-05,15.0
plate,3.714288926857989e-05,1241.0
ahead,3.70468999244622e-05,260.0
bonds,3.6847086388565214e-05,
stone,3.671251080959337e-05,1910.0
curve,3.668725497846026e-05,2166.0
inner,3.632169289630838e-05,1008.0
calls,3.626218502378064e-05,
angle,3.624957178544719e-05,649.0
brown,3.616641279222677e-05,2223.0
frame,3.610694322560448e-05,234.0
youth,3.577077688532881e-05,426.0
abuse,3.5653622726385945e-05,1481.0
raise,3.558180302206892e-05,1668.0
grown,3.534764065989293e-05,1324.0
thick,3.468828803306678e-05,1610.0
smile,3.4533392572484445e-05,666.0
clean,3.432392208196688e-05,761.0
false,3.4229303746542425e-05,1345.0
touch,3.4186976990895345e-05,1117.0
gross,3.39549577802245e-05,1969.0
ended,3.393671278900001e-05,
ideal,3.39008120863582e-05,924.0
apart,3.386787811905378e-05,1691.0
enemy,3.385381558473455e-05,1504.0
extra,3.3726316432876045e-05,2284.0
train,3.366267377714394e-05,327.0
tasks,3.358445443154778e-05,
watch,3.354360418597935e-05,267.0
sight,3.311725922685582e-05,1806.0
horse,3.280641485616798e-05,2002.0
track,3.2619462508591824e-05,781.0
grain,3.2476615670020694e-05,2007.0
twice,3.2442956580780447e-05,440.0
chair,3.233743316741311e-05,1397.0
delay,3.21716746839229e-05,922.0
acres,3.211736135664449e-05,
maybe,3.173523497025599e-05,1848.0
banks,3.163787685954626e-05,
sheet,3.160647294862429e-05,1016.0
spend,3.144077469187323e-05,107.0
ought,3.123889928247081e-05,117.0
award,3.122285612334963e-05,675.0
thank,3.1029716919874775e-05,774.0
sugar,3.082228562561795e-05,220.0
films,3.079118290770566e-05,
loved,3.0687273956573335e-05,
finds,3.0579512058466206e-05,
wages,3.037940301510389e-05,
homes,3.03279050058336e-05,
valid,3.0277492478489875e-05,501.0
count,3.024218913196819e-05,571.0
